ticker,name,beta_equity,beta_asset,beta_debt,re,rd,wacc,"enterprise_value, $B","equity_value, $B",stock_price,mkt_stock_price
SBSNY,Schibsted ASA,0.06,-0.04774159668206305,-0.7417523944661227,0.019564164389532644,0.0,0.016816947600415105,283.53436955955453,281.15236955955453,1179.3304092263193,27.4
AMZN,"Amazon.com, Inc.",1.73,1.0263712180178128,-0.7417523944661227,0.04984340463592215,0.0,0.04264337271471198,3362.9800391267304,3369.8640391267304,6844.726177821239,1870.3
BABA,Alibaba Group Holding Limited,1.85,1.4828240687149623,-0.7417523944661227,0.06271081049707479,0.0,0.055443817243559144,15384.226889233703,15447.258889233704,5941.253418936039,160.33
DIS,The Walt Disney Company,0.7,0.4126958608526376,-0.7417523944661227,0.03254389631743586,0.0,0.026905040309331496,1149.9818348842268,1134.2628348842268,630.146019380126,141.74
HD,"The Home Depot, Inc.",1.25,,-0.7417523944661227,,0.0,,,,0.0,202.35
LVMHF,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",0.77,0.5998754794168182,-0.7417523944661227,0.03782048976476011,0.0,0.03492057953340293,671.6585437617283,669.3435437617283,1330.0682452939518,401.7
TOYOF,Toyota Motor Corporation,0.77,0.7380448322538434,-0.7417523944661227,0.041715483821235855,0.0,0.04125249908519387,171015.40854813094,173102.06454813096,60314.30820492368,62.85
MCD,McDonald's Corporation,0.33,,-0.7417523944661227,,0.0,,,,0.0,204.49
NFLX,"Netflix, Inc.",1.51,0.1370538606825479,-0.7417523944661227,0.02477354833264103,0.0,0.014892457813053884,292.401470653875,285.835895653875,653.7575949267531,343.43
NKE,"NIKE, Inc.",1.07,0.699335372850582,-0.7417523944661227,0.04062426416065791,0.0,0.034372713392590744,244.4950840361733,245.27008403617327,194.6587968541058,83.61
SBUX,Starbucks Corporation,0.43,-0.5482606246280525,-0.7417523944661227,0.005454532991735201,0.0,0.0034019591064927256,2872.674422026805,2871.990622026805,2373.5459686171944,83.35
IDEXY,"Industria de Diseño Textil, S.A.",1.14,1.14,-0.7417523944661227,0.0530466,0.0,0.0530466,194.1549247742657,198.9389247742657,63.967499927416625,14.05
VLKAF,Volkswagen AG,1.02,0.8503156755724841,-0.7417523944661227,0.04488039889438833,0.0,0.04349065780376704,1225.1319569804189,1235.1139569804188,2463.821976821103,163.95
LOW,"Lowe's Companies, Inc.",1.58,-0.09873942573809558,-0.7417523944661227,0.018126535588443085,0.0,0.010939585897905288,1378.5538876823766,1364.3378876823767,1742.6274557839583,98.62
BKNG,Booking Holdings Inc.,0.78,0.12566666636580814,-0.7417523944661227,0.024452543324852135,0.0,0.015130462520133744,1027.8554651918175,1021.8304651918176,23604.307350238334,1809.52
HESAY,Hermès International Société en commandite par actions,,,,,,,,,,
PPRUF,Kering SA,0.92,0.5828454714620088,-0.7417523944661227,0.037340413840514036,0.0,0.03187185846290222,290.73232660778586,289.4870266077859,2292.4218134921275,542.0
