ticker,name,beta_equity,beta_asset,beta_debt,re,rd,wacc,"enterprise_value, $B","equity_value, $B",stock_price,mkt_stock_price
LRLCF,L'Oréal S.A.,0.53,0.5296507423089835,-0.7417523944661227,0.035840854425690245,0.0,0.03583162802098858,271.9308112062626,275.7999112062626,493.5309686420961,277.15
WMT,Walmart Inc.,0.62,0.18903641954254738,-0.7417523944661227,0.02623893666690441,0.0,0.02098050036586191,2784.2135932311858,2746.111593231186,963.5479274495389,108.65
NSRGY,Nestlé S.A.,0.47,0.16262219671791836,-0.7417523944661227,0.02549431972547812,0.0,0.020712332228161857,1472.6977078862897,1445.6787078862897,472.44402218506195,101.39
PG,The Procter & Gamble Company,0.28,0.03597880584697246,-0.7417523944661227,0.021924242536826156,0.0,0.01807383334546301,1365.459235233935,1345.5002352339352,536.0558706111295,110.91
KO,The Coca-Cola Company,0.28,-0.2458356714996084,-0.7417523944661227,0.01397989242042604,0.0,0.009712141182100441,933.4266930988593,911.9516930988593,213.57182508170007,51.13
PEP,"PepsiCo, Inc.",0.54,-0.2370615526577346,-0.7417523944661227,0.014227234830578462,0.0,0.009042817852276156,2377.959986787433,2354.432986787433,1681.7378477053094,132.94
UL,Unilever PLC,0.54,-0.21585342145616276,-0.7417523944661227,0.014825092049150772,0.0,0.009455434533030249,2118.6147985038847,2098.2977985038847,780.0363563211467,62.69
UN,Unilever N.V.,0.43,-0.26098607522053585,-0.7417523944661227,0.013552802539533094,0.0,0.008643969071273454,2322.810142339376,2302.493142339376,855.9454060741175,61.43
BUD,Anheuser-Busch InBev SA/NV,1.3,0.110268137190388,-0.7417523944661227,0.02401845878739704,0.0,0.013109190220058527,4424.209188973224,4322.330188973224,2182.9950449359717,85.93
PM,Philip Morris International Inc.,1.02,,-0.7417523944661227,,0.0,,,,0.0,77.59
COST,Costco Wholesale Corporation,1.0,0.5526517064963897,-0.7417523944661227,0.03648925160613323,0.0,0.03069190222653523,368.54350956382274,368.02150956382275,836.7738559010089,259.71
