ticker,name,beta_equity,beta_asset,beta_debt,re,rd,wacc,"enterprise_value, $B","equity_value, $B",stock_price,mkt_stock_price
EC,Ecopetrol S.A.,1.48,0.8301886907938266,-0.7417523944661227,0.04431301919347798,0.0,0.03221021687857377,2010984.078693536,1979233.177693536,48133.10257036809,16.99
XOM,Exxon Mobil Corporation,1.12,0.983323901591364,-0.7417523944661227,0.048629900785860554,0.0,0.045927974300239614,1836.9462431741224,1816.6832431741223,429.47594401279486,74.68
RDS-A,Royal Dutch Shell plc,0.56,0.3309685710872933,-0.7417523944661227,0.0302400040189508,0.0,0.026173147162982545,2757.8275271781613,2722.4635271781613,328.4033205281256,63.75
CVX,Chevron Corporation,0.75,0.5597024945427468,-0.7417523944661227,0.036688013321160035,0.0,0.03255390433692403,1691.0221894481438,1666.7591894481436,877.2416786569178,120.91
PTR,PetroChina Company Limited,1.18,0.9076456850808031,-0.7417523944661227,0.046496531862427845,0.0,0.04134611303182337,26228.097166266372,25968.903166266373,141.89106745856395,54.78
BPAQF,BP p.l.c.,,,,,,,,,,
TOT,TOTAL S.A.,0.56,0.2930437555269416,-0.7417523944661227,0.029170903468304487,0.0,0.024800982564880836,3017.259047784384,3001.6300477843843,1145.660323581826,52.83
PBR,Petróleo Brasileiro S.A. - Petrobras,0.24,-0.2220224042164277,-0.7417523944661227,0.014651188425138904,0.0,0.009339578608240777,23391.37662042009,23119.06962042009,1772.9347868420314,15.47
SNPMF,China Petroleum & Chemical Corporation,1.56,1.3554597243786264,-0.7417523944661227,0.05912040963023349,0.0,0.05564786879549119,10012.293584345336,10014.253584345337,82.71457490993092,0.64
OGZPY,Public Joint Stock Company Gazprom,0.35,0.17397472667861255,-0.7417523944661227,0.02581434754507009,0.0,0.021727355365570637,300608.1205253824,297668.6085253824,13469.167806578389,7.21
EBBNF,Enbridge Inc.,0.26,-0.17729105332798548,-0.7417523944661227,0.015912165206684092,0.0,0.010141627861306932,3147.255495864143,3083.645495864143,1792.8171487582226,18.35
CEO,CNOOC Limited,1.06,0.6987737844582157,-0.7417523944661227,0.040608432983877105,0.0,0.03268278326096132,4140.365843383734,4020.036843383734,90.03441978463009,159.34
COP,ConocoPhillips,0.72,0.34087223681314455,-0.7417523944661227,0.030519188355762547,0.0,0.02434470037718458,668.1434574602447,659.8674574602446,583.9535021772076,59.06
EQNR,Equinor ASA,0.89,1.4946306657070374,-0.7417523944661227,0.06304363846628139,0.0,0.050007701419319664,5.424480314578294,-11.663519685421706,0.0,19.5
EPD,Enterprise Products Partners L.P.,0.92,0.17264998564239228,-0.7417523944661227,0.02577700309525904,0.0,0.014610956170658423,1363.947797830185,1338.114397830185,611.0111405617283,29.22
NOVKY,PAO NOVATEK,0.35,0.19775737622874068,-0.7417523944661227,0.0264847804358882,0.0,0.022619614175739454,38945.66387168918,38805.17487168919,128792.48214964881,201.0
EIPAF,Eni S.p.A.,1.0,0.923803775188496,-0.7417523944661227,0.046952028422563706,0.0,0.03898660864962626,465.61087049139576,452.7638704913958,124.38567870642741,15.7
LUKOY,PJSC LUKOIL,0.6,0.4956996293389538,-0.7417523944661227,0.03488377255106511,0.0,0.032234060439811904,93143.38372518646,93129.71472518647,131511.28253221276,80.6
SLB,Schlumberger Limited,1.66,1.0417142883684019,-0.7417523944661227,0.05027592578910525,0.0,0.03896033065178114,262.4806609829417,247.49366098294166,178.05299351290768,36.79
EOG,"EOG Resources, Inc.",1.52,1.1260332473130457,-0.7417523944661227,0.052652877241754756,0.0,0.04463082056640667,478.39800889167003,473.87038089167004,816.5673781563104,86.49
SU,Suncor Energy Inc.,1.16,0.8076347520890169,-0.7417523944661227,0.04367722366138939,0.0,0.037500518525783046,876.5772764149335,865.9392764149336,541.2120477593335,30.97
KMI,"Kinder Morgan, Inc.",1.02,0.26924773452792994,-0.7417523944661227,0.028500093636342348,0.0,0.01620833058323266,604.656680774974,573.730680774974,253.8631330862717,20.52
TRP,TC Energy Corporation,1.03,0.005294785546150779,-0.7417523944661227,0.021059260004545992,0.0,0.011685845540937463,1652.9989967606177,1605.9509967606177,1757.0579833267152,49.12
PSX,Phillips 66,0.93,0.49647147105142164,-0.7417523944661227,0.03490553076893958,0.0,0.027882256687295555,558.3536987364919,550.3966987364919,1213.530368727796,85.24
ET,Energy Transfer LP,1.44,,-0.7417523944661227,,0.0,,,,0.0,14.04
OXY,Occidental Petroleum Corporation,1.2,0.66754613650308,-0.7417523944661227,0.03972812558802183,0.0,0.030486856624565573,497.55391522877807,490.2699152287781,655.4235384465363,49.73
APC,Anadarko Petroleum Corporation,1.75,0.23695309986662053,-0.7417523944661227,0.027589707885240036,0.0,0.016228837979850676,1074.5833926566302,1058.3053926566304,2106.499587294248,70.07
WMB,"The Williams Companies, Inc.",1.46,0.25532760443980596,-0.7417523944661227,0.028107685169158132,0.0,0.014230050756139727,579.9505563955046,557.7045563955046,460.91285652521043,26.87
VLO,Valero Energy Corporation,1.52,0.9672357597435931,-0.7417523944661227,0.04817637606717189,0.0,0.03965533864135429,394.00150019016246,387.8745001901625,929.6196438264847,77.26
MPC,Marathon Petroleum Corporation,1.37,0.5732049863313725,-0.7417523944661227,0.037068648564681395,0.0,0.026307812129614642,836.1093373906373,810.2723373906373,1222.8310908071553,47.9
CNQ,Canadian Natural Resources Limited,0.79,0.2922701653485709,-0.7417523944661227,0.029149095961176215,0.0,0.021213229228610988,1324.5720031057185,1304.0500031057186,1077.7272752939823,26.67
ETP-PE,"Energy Transfer Operating, L.P.",1.7,0.4015326141291065,-0.7417523944661227,0.03222920439229952,0.0,0.018435169048665115,1810.1592237023433,1770.0692237023432,1512.879678378071,24.55
ETP-PD,"Energy Transfer Partners, L.P. PFD UNIT SER D",,,,,,,,,,
GZPFY,PJSC Gazprom Neft,0.29,0.04852915589317328,-0.7417523944661227,0.022278036904628557,0.0,0.017946794327441364,125127.56671424852,124600.35871424852,26398.381083527227,29.99
NTOIF,Neste Oyj,0.31,0.18092217215885417,-0.7417523944661227,0.0260101960331581,0.0,0.023634994522834445,177.92496882236554,178.02196882236555,231.95347017207462,35.18
MITSY,"Mitsui & Co., Ltd.",0.4,0.10924751822553863,-0.7417523944661227,0.023989687538777935,0.0,0.01634028374121941,29274.12598521855,25941.78598521855,14909.072405298019,321.21
OKE,"ONEOK, Inc.",1.07,0.12729548242743982,-0.7417523944661227,0.02449845964962953,0.0,0.012461879942522718,707.5798429193301,698.1115739193301,1691.3256466695661,65.03
OAOFY,PJSC Tatneft,0.59,0.5859519930427923,-0.7417523944661227,0.03742798668387632,0.0,0.037331899891256175,27194.466512840376,27256.871512840375,12114.165116817943,71.0
MPLX,MPLX LP,0.86,-0.12023724251521022,-0.7417523944661227,0.017520512133496226,0.0,0.007220029298789635,17534.182868672193,17520.858868672192,22056.850089598025,31.55
REPYF,"Repsol, S.A.",0.94,0.6120413805474498,-0.7417523944661227,0.038163446517632614,0.0,0.032266064410725416,152.4612922344788,143.5662922344788,92.02967450928128,16.25
PXD,Pioneer Natural Resources Company,1.38,1.1048791874246233,-0.7417523944661227,0.05205654429350014,0.0,0.04541535861700154,362.58583651958037,361.12683651958037,2144.2039931099653,143.25
BHGE,"Baker Hughes, a GE company",0.78,0.4305977751363412,-0.7417523944661227,0.03304855128109346,0.0,0.02915247881556743,225.3770384820292,222.9180384820292,432.38039894877267,22.78
WOPEF,WOODSIDE PETROLEUM,1.04,,-0.7417523944661227,,0.0,,,,0.0,24.11
WOPEY,Woodside Petroleum Ltd,,,,,,,,,,
CQP,"Cheniere Energy Partners, L.P.",1.13,-0.6286835371782683,-0.7417523944661227,0.003187411086944616,0.0,0.0003383543092183334,2058289.8106815259,2058273.744681526,5904060.996734341,42.3
IMO,Imperial Oil Limited,0.94,0.819880742295424,-0.7417523944661227,0.044022438125308004,0.0,0.039300135386422325,198.41017589899585,194.95117589899584,245.93310949791328,26.98
CXO,Concho Resources Inc.,1.57,1.223125014673582,-0.7417523944661227,0.055389894163648284,0.0,0.04655498064260391,240.38976639513126,236.19576639513127,1185.9598634019444,100.35
HAL,Halliburton Company,1.59,0.5087944387813035,-0.7417523944661227,0.03525291522924495,0.0,0.02111348679402204,385.6317785344034,377.2187785344034,431.6103097718522,21.66
PBA,Pembina Pipeline Corporation,0.86,0.3606720527423931,-0.7417523944661227,0.031077345166808067,0.0,0.022852291729883203,323.70033299902326,316.32033299902326,625.1389980217851,35.96
PAA,"Plains All American Pipeline, L.P.",1.01,0.18516337914425865,-0.7417523944661227,0.026129755658076653,0.0,0.016756803048337345,596.1512353398062,586.9992353398062,807.6266962106247,23.9
HES,Hess Corporation,2.21,1.1985578598011595,-0.7417523944661227,0.054697346067794694,0.0,0.03848439223171483,92.07375204476396,88.36275204476397,291.20337478501176,58.06
LNG,"Cheniere Energy, Inc.",1.01,,-0.7417523944661227,,0.0,,,,0.0,65.73
FANG,"Diamondback Energy, Inc.",1.2,0.8024509762908895,-0.7417523944661227,0.04353109302164018,0.0,0.0345321890850327,1299.4851737275515,1295.2353517275515,7865.642507606434,100.17
OMVKY,OMV Aktiengesellschaft,0.93,0.5192292660633414,-0.7417523944661227,0.0355470730103256,0.0,0.030825864671598608,279.90024006682023,278.27524006682023,856.2315078979083,47.25
JXHLY,"JXTG Holdings, Inc.",0.62,0.19259816675723826,-0.7417523944661227,0.026339342320886548,0.0,0.021450066692178762,28697.729006291447,26865.170006291446,7948.275149790369,9.29
SSL,Sasol Limited,0.67,0.342053985908848,-0.7417523944661227,0.030552501862770427,0.0,0.02433321208838504,2863.443688638009,2776.417688638009,4442.410458955501,24.85
MMP,"Magellan Midstream Partners, L.P.",0.75,-0.16554998086598025,-0.7417523944661227,0.016243146039388017,0.0,0.007413751566362861,512.9212655627474,508.8602415627474,2227.934507717808,63.48
TS,Tenaris S.A.,1.27,1.2660709232302294,-0.7417523944661227,0.05660053932586018,0.0,0.056484620072372906,8.260552511427788,8.151594511427788,6.908130941887956,24.85
SGTPY,Surgutneftegas Public Joint Stock Company,0.58,0.58,-0.7417523944661227,0.03726020000000001,0.0,0.03726020000000001,0.0,260.346,7.286481947942905,6.45
CLR,"Continental Resources, Inc.",1.58,0.5916237580957374,-0.7417523944661227,0.03758787374071884,0.0,0.023420530467639537,524.4760863730278,518.9904863730278,1391.0224775476488,37.5
WES,"Western Midstream Partners, LP",0.88,-0.46651077384853545,-0.7417523944661227,0.007759061285209786,0.0,0.003738386108709415,711.3370328207176,706.6137938207175,1559.888284113816,29.49
GLPEY,"Galp Energia, SGPS, S.A.",0.76,0.3963492401657063,-0.7417523944661227,0.03208308508027126,0.0,0.025290686047749103,136.21442225788635,134.48142225788635,162.17235123049304,7.41
IPXHY,Inpex Corporation,1.19,1.1009930057386232,-0.7417523944661227,0.051946992831771795,0.0,0.04095827236657883,7669.328536605988,6894.967536605988,4722.58050452465,8.36
DVN,Devon Energy Corporation,2.2,1.2226735165311988,-0.7417523944661227,0.05537716643101449,0.0,0.039004023846765344,91.60802198428793,88.07502198428793,212.1011968315182,26.12
MRO,Marathon Oil Corporation,1.94,1.2327424086043297,-0.7417523944661227,0.055661008498556055,0.0,0.04130521441133877,206.50388544102117,202.46688544102116,247.53873904663192,13.28
CVE,Cenovus Energy Inc.,1.33,0.7556078705755646,-0.7417523944661227,0.042210585871525166,0.0,0.03203175521927417,688.9198368310982,680.5368368310982,553.2819811634945,8.41
APA,Apache Corporation,2.04,0.728224213003676,-0.7417523944661227,0.04143864056457363,0.0,0.02597451253625948,286.55119847159705,279.0611984715971,742.3419835911818,28.36
FTI,TechnipFMC plc,1.33,0.8889929496218519,-0.7417523944661227,0.04597071124984001,0.0,0.03832088961100464,69.7838341219231,71.1321341219231,159.05045305977484,22.89
COG,Cabot Oil & Gas Corporation,0.56,0.14750523831645582,-0.7417523944661227,0.02506817266814089,0.0,0.017747992022275526,99.48606526881603,98.26224826881604,232.13930938320308,23.9
STOSF,Santos Limited,1.3,0.6937806479325608,-0.7417523944661227,0.04046767646521889,0.0,0.03127777748505275,76.75391733571269,73.21291733571269,35.198517949861866,4.73
