ticker,name,beta_equity,beta_asset,beta_debt,re,rd,wacc,"enterprise_value, $B","equity_value, $B",stock_price,mkt_stock_price
HSBC-PA,HSBC Holdings plc ADR A 1/40PF A,,,,,,,,,,
BRK-A,Berkshire Hathaway Inc.,0.89,0.6257900196622579,-0.7417523944661227,0.03855102065427905,0.0,0.03390623143685759,744.8739288431419,682.117928843142,943311.4309622905,307445.0
V,Visa Inc.,0.86,0.382457191569039,-0.7417523944661227,0.03169146823033121,0.0,0.0240781909942112,1386.3816882953547,1377.9136882953546,791.9044185605486,169.35
JPM,JPMorgan Chase & Co.,1.22,0.30172300999682766,-0.7417523944661227,0.029415571651810572,0.0,0.026379192627590205,7627.683580177415,7562.659580177415,2334.1541914127824,109.54
SAN-PB,"Banco Santander, S.A. GTD PFD SECS 6",,,,,,,,,,
BAC-PK,Bank of America Corporation,1.55,0.7194906700171142,-0.7417523944661227,0.04119244198778245,0.0,0.037844483514525844,3762.0206579112673,3689.2066579112675,376.06591823764194,26.52
WFC-PL,Wells Fargo & Company,0.01,-0.3618388020313639,-0.7417523944661227,0.010709764170735851,0.0,0.009460225873784811,7048.409510548415,7072.895510548416,1501.6763292034852,1330.0
MA,Mastercard Incorporated,1.0,0.22471553083389179,-0.7417523944661227,0.02724473081420741,0.0,0.02085109607687491,1127.0593047700872,1127.4073047700872,1116.2448562080071,261.2
IDCBF,Industrial and Commercial Bank of China Limited,0.79,0.5186288934014528,-0.7417523944661227,0.03553014850498696,0.0,0.03473418684775947,39351.01333443015,39553.69133443015,110.97806272110815,0.715
CICHY,China Construction Bank Corporation,1.22,0.740764534164213,-0.7417523944661227,0.04179215221808917,0.0,0.04041386578128889,19197.547684357272,18277.086684357273,73.10542252052826,16.0
PIAIF,"Ping An Insurance (Group) Company of China, Ltd.",1.69,0.6706998708216944,-0.7417523944661227,0.03981702935846357,0.0,0.036888251100690564,20685.272594088307,20070.476594088308,1097.947297269601,11.18
C-PS,Citigroup Inc.,,,,,,,,,,
HBCYF,HSBC Holdings plc,0.56,0.002092907490798037,-0.7417523944661227,0.020968999062165598,0.0,0.01950560929076623,-52.1308461930863,-259.61184619308625,0.0,8.02
AVAL,Grupo Aval Acciones y Valores S.A.,0.96,-0.0915161855905404,-0.7417523944661227,0.018330158728202667,0.0,0.015324039809372704,3499027.6636220235,3474485.3826220236,155946.38162576407,7.41
ACGBY,Agricultural Bank of China Limited,1.21,0.9385502099667861,-0.7417523944661227,0.04736773041896371,0.0,0.04669663904850554,13724.543084480732,12307.882084480732,35.16738694919919,10.2
BACHF,Bank of China Limited,0.91,0.25588796675697734,-0.7417523944661227,0.028123481782879194,0.0,0.02651481482965945,6036.846718803399,4360.025718803399,12.827755211401922,0.4107
PYPL,"PayPal Holdings, Inc.",0.95,0.95,-0.7417523944661227,0.047690500000000004,0.0,0.047690500000000004,104.6722086302958,112.2472086302958,95.93778515409898,115.72
RY-PT,Royal Bank of Canada,0.27,-0.2555960717262606,-0.7417523944661227,0.013704746738036715,0.0,0.012685495640481178,9172.452606093937,8894.078606093937,6176.443476454123,32.44
CIHHF,"China Merchants Bank Co., Ltd.",1.32,0.212654724245295,-0.7417523944661227,0.026904736676474868,0.0,0.023879698779839958,53838.9883217191,53141.9433217191,2107.134945349687,4.97
BDOUY,"BDO Unibank, Inc.",,,,,,,,,,
AAGIY,AIA Group Limited,0.81,0.6768621983641302,-0.7417523944661227,0.03999074537188484,0.0,0.03920835330556806,-330.02655122794533,-333.2435512279453,0.0,38.18
TD,The Toronto-Dominion Bank,1.06,0.31984750690610725,-0.7417523944661227,0.029926501219683165,0.0,0.028513284840750473,5608.514238179167,5445.747238179167,2975.8181629394353,56.38
AXP,American Express Company,1.05,-0.06837592880065334,-0.7417523944661227,0.018982482567109583,0.0,0.013104215571799523,364.04780372158274,333.0248037215827,398.79389246728783,121.86
LFC,China Life Insurance Company Limited,1.5,1.4779269095126901,-0.7417523944661227,0.06257275957916274,0.0,0.06250231145362387,1795.0800822999959,1806.704082299996,63.931496188959514,11.52
ISG,ING Groep N.V. PERP DBT 6.125,,,,,,,,,,
CMWAY,Commonwealth Bank of Australia,0.44,-0.30339839809858543,-0.7417523944661227,0.012357199157600878,0.0,0.010372727999512834,6459.73318033463,6297.34718033463,3578.038170644676,55.59
AZSEY,Allianz SE,0.82,0.41736235279085543,-0.7417523944661227,0.03267544472517422,0.0,0.03162146270969989,492.7146171364279,476.51361713642785,1108.6610761416157,23.43
HDB,HDFC Bank Limited,0.19,-0.184357496401264,-0.7417523944661227,0.015712962176448367,0.0,0.013795853381250542,491508.9568266556,490356.0841776556,188598.4939144829,127.45
GS-PN,"The Goldman Sachs Group, Inc.",0.07,-0.47671910415867175,-0.7417523944661227,0.007471288453767043,0.0,0.00557878644702171,120.131523455005,-12.82447654499501,0.0,26.89
MS-PK,Morgan Stanley,1.32,0.00573490073768542,-0.7417523944661227,0.021071666851795352,0.0,0.01700035392287991,-199.15551796668865,-364.1615179666886,0.0,26.82
USB-PM,U.S. Bancorp,,,,,,,,,,
SBRCY,Sberbank of Russia,1.11,0.743093416317872,-0.7417523944661227,0.041857803406000815,0.0,0.0402355493760883,458502.15914199984,458403.8591419998,21321.109727534877,15.19
SAN,"Banco Santander, S.A.",0.9,-0.04138803015681877,-0.7417523944661227,0.01974327142987928,0.0,0.01727599669852668,5757.199385735552,5535.475385735552,343.39177330865704,4.44
FMCCT,Freddie Mac,0.98,,-0.7417523944661227,,0.0,,,,0.0,22.0
CME,CME Group Inc.,,,,,,,,,,
BLK,"BlackRock, Inc.",1.37,1.1345045318842863,-0.7417523944661227,0.05289168275381803,0.0,0.05121351295201835,195.81122938137554,197.23622938137555,1276.6098989085797,448.28
CB,Chubb Limited,0.64,0.41488724080603556,-0.7417523944661227,0.03260567131832215,0.0,0.030196749061253865,2508.8705346840866,2497.0985346840866,5453.728208190287,148.84
WBK,Westpac Banking Corporation,0.8,-0.14974985447251896,-0.7417523944661227,0.016688551602419693,0.0,0.013970015704183804,2151.6527019937407,2005.7537019937406,584.7678431468631,19.55
PUK-PA,Prudential plc PER SUB 6.50%,,,,,,,,,,
BNS,The Bank of Nova Scotia,0.93,0.8176178811363222,-0.7417523944661227,0.04395864806923293,0.0,0.04370779365493209,2021.017146110236,1914.1731461102358,1556.2383301709235,52.72
PNC,"The PNC Financial Services Group, Inc.",1.24,0.20607343464126054,-0.7417523944661227,0.026719210122537137,0.0,0.022706314144022143,1567.4852505613242,1515.674250561324,3357.4212532370284,133.73
AXAHY,AXA SA,1.05,0.5471705053967332,-0.7417523944661227,0.036334736547133914,0.0,0.03514166088982361,278.5200366141736,252.2990366141736,106.00799857738386,25.54
MBFJF,"Mitsubishi UFJ Financial Group, Inc.",1.36,0.11390506267576493,-0.7417523944661227,0.024120983716829816,0.0,0.021915569607528232,1148898.9231082725,1194657.9681082724,91334.70704191686,4.72
BNPQY,BNP Paribas SA,1.03,-0.042767069411502344,-0.7417523944661227,0.01970439631328975,0.0,0.017621143085825172,1286.547693512855,1264.7116935128552,1011.7693548102841,23.03
GWLIF,Great-West Lifeco Inc.,0.81,0.5062677562470026,-0.7417523944661227,0.035181688048603006,0.0,0.03468944433580506,-566.4834321161592,-568.6384321161592,0.0,23.4
FNMAL,Federal National Mortgage Association,1.3,,-0.7417523944661227,,0.0,,,,0.0,22.05
AVVIY,Aviva plc,1.21,0.6337223183914199,-0.7417523944661227,0.03877463215545413,0.0,0.03794874882986407,-514.9743319033159,-477.65933190331594,0.0,10.42
STT,State Street Corporation,1.76,1.0347871068841177,-0.7417523944661227,0.05008064854306328,0.0,0.047848550110905545,427.1444855350978,419.8384855350978,1125.08973506029,55.03
AMP,"Ameriprise Financial, Inc.",2.15,0.9610245010550696,-0.7417523944661227,0.04800128068474242,0.0,0.04639734330178749,125.57355336028427,123.66155336028427,923.5366195689639,151.54
ABMRF,ABN AMRO Group N.V.,1.18,-0.14592092276012406,-0.7417523944661227,0.016796489187392103,0.0,0.014003601237196461,1312.3604483637641,1256.612448363764,1336.8217535784725,21.84
LGGNY,Legal & General Group Plc,1.33,0.6642271209206426,-0.7417523944661227,0.039634562538752915,0.0,0.03923637970355789,-1057.9673343651928,-1045.5943343651927,0.0,17.23
SCGLF,Société Générale Société anonyme,,,,,,,,,,
SKVKY,Skandinaviska Enskilda Banken AB (publ.),0.79,-0.3094959117438537,-0.7417523944661227,0.012185310247940765,0.0,0.009952609883474878,7848.2791819726035,7274.176181972603,3367.67415832065,9.17
KKR,KKR & Co. Inc.,1.8,0.06232854606077451,-0.7417523944661227,0.022667041713453236,0.0,0.012687241769277909,331.84892620453104,311.259021204531,572.2304320412748,24.31
MSCI,MSCI Inc.,1.41,,-0.7417523944661227,,0.0,,,,0.0,234.82
FITB,Fifth Third Bancorp,1.37,0.6147712589442419,-0.7417523944661227,0.03824040178963818,0.0,0.03527529084433533,392.5560806453918,379.31108064539177,521.6407627661305,27.21
HIG,"The Hartford Financial Services Group, Inc.",0.5,0.24071593450226159,-0.7417523944661227,0.027695782193618755,0.0,0.02579996774169868,159.37577555714776,154.75677555714776,428.09619794508376,54.51
SVNLF,Svenska Handelsbanken AB (publ),0.86,-0.5315113433512338,-0.7417523944661227,0.005926695230928718,0.0,0.0035496959650020516,36236.854520480134,35344.818520480134,18218.97861880419,9.86
PGPHF,Partners Group Holding AG,1.39,1.138754131502391,-0.7417523944661227,0.05301147896705241,0.0,0.04762962117900335,54.28565872500084,54.39845872500084,2041.9841863739055,717.43
NTRS,Northern Trust Corporation,1.22,0.8212675358625117,-0.7417523944661227,0.04406153183596421,0.0,0.042928004459705044,404.79493394304444,406.10923394304444,1865.624926235963,87.24
HVRRY,Hannover Rück SE,0.51,0.28183668575444987,-0.7417523944661227,0.028854976171417947,0.0,0.02774354542374365,147.09152875092215,145.60555975092214,1207.443069499313,78.87
SHG,"Shinhan Financial Group Co., Ltd.",0.79,-0.22013144406367874,-0.7417523944661227,0.014704494591844898,0.0,0.011923712916577761,5711262.896663492,5632512.316663492,11891718.18149159,38.17
MSADY,"MS&AD Insurance Group Holdings, Inc.",0.67,0.45387765481001724,-0.7417523944661227,0.033704811089094386,0.0,0.03274449259335362,17092.926772003782,17908.139772003786,30679.33216611352,15.97
IX,ORIX Corporation,0.64,-0.06728597952063733,-0.7417523944661227,0.019013208237313235,0.0,0.012475708999033263,87464.63073415714,84439.44073415714,65968.31307356026,71.5
BAP,Credicorp Ltd.,0.46,-0.009871054533114782,-0.7417523944661227,0.020631734972711497,0.0,0.01822353273608261,1120.5193879340552,1096.924643934055,13796.058909999436,220.58
KEY,KeyCorp,1.55,0.5534477061357393,-0.7417523944661227,0.0365116908359665,0.0,0.03292467278244629,1796.5321667934447,1783.1311667934447,1765.4764027657868,17.07
CAIXY,"CaixaBank, S.A.",1.12,0.20742758986173576,-0.7417523944661227,0.026757383758202333,0.0,0.02473351061650414,3749.8678341192885,3723.9991711192883,622.7423363075733,0.9211
BEN,"Franklin Resources, Inc.",0.98,0.9113504414196331,-0.7417523944661227,0.04660096894361946,0.0,0.044346328954196525,53.88818443669935,59.80308443669934,117.8246600139872,33.37
CINF,Cincinnati Financial Corporation,0.55,0.45489742788107057,-0.7417523944661227,0.03373355849196738,0.0,0.032521703279217426,20.00754178836551,20.003541788365514,122.54819450079957,102.65
SWDBY,Swedbank AB (publ),0.65,-0.4446606597095478,-0.7417523944661227,0.008375016002787847,0.0,0.006013895161160103,34100.366189458065,33535.186189458065,29942.130526301844,14.94
EXXRF,Exor N.V.,1.42,0.06943290052384117,-0.7417523944661227,0.022867313465767085,0.0,0.019171135948365454,1087.2537639163638,1063.3467639163637,4517.574831830928,67.25
BCH,Banco de Chile,0.44,-0.2898666597556073,-0.7417523944661227,0.01273865886148943,0.0,0.010500755496311702,444770.57072226517,438555.7957222652,4410.255387392048,28.83
GBOOF,"Grupo Financiero Banorte, S.A.B. de C.V.",0.76,0.22638600853083218,-0.7417523944661227,0.02729182158048416,0.0,0.02508217888451451,26001.53528868643,25875.26728868643,8984.467808571677,5.14
FRC-PG,First Republic Bank,0.39,-0.06672873100408531,-0.7417523944661227,0.019028917072994835,0.0,0.01779664833080223,3291.892205862856,3284.329457862856,19931.602487333752,25.84
L,Loews Corporation,0.6,0.16203500979007254,-0.7417523944661227,0.025477766925982148,0.0,0.021782456203878985,211.79331818824423,200.82231818824422,658.6713837391985,53.37
AJG,Arthur J. Gallagher & Co.,0.58,0.11494563715357006,-0.7417523944661227,0.02415031751135914,0.0,0.019579588262270388,124.50865060549556,121.92445060549555,658.161676682837,87.12
CFG,"Citizens Financial Group, Inc.",1.72,0.8375133092053164,-0.7417523944661227,0.044519500186497876,0.0,0.04051652266253344,753.9522383713063,740.6002383713063,1615.7610576213158,34.88
NDAQ,"Nasdaq, Inc.",0.73,0.2983874932090733,-0.7417523944661227,0.02932154343356378,0.0,0.023800875765435464,119.85057591839238,117.43957591839238,708.7481950415955,95.44
GBLBY,Groupe Bruxelles Lambert SA,,,,,,,,,,
BBSEY,BB Seguridade Participações S.A.,,,,,,,,,,
PFG,"Principal Financial Group, Inc.",1.51,1.0975674798058228,-0.7417523944661227,0.05185042725572615,0.0,0.05116070566179407,62.27391374508379,61.95311374508378,222.4129016158097,55.45
NTIOF,National Bank of Canada,1.06,0.4262027495824539,-0.7417523944661227,0.03292465551072938,0.0,0.03198986830427245,866.9859497635958,855.4639497635958,2529.3121334149246,45.91
CNPAY,CNP Assurances SA,0.92,0.264581110190364,-0.7417523944661227,0.028368541496266365,0.0,0.027224956742418732,-385.96967954874304,-384.59957954874307,0.0,11.5
KB,KB Financial Group Inc.,0.55,-0.267333800841685,-0.7417523944661227,0.013373860154272901,0.0,0.011183508090132868,16006318.723271022,15922460.749271022,40184894.50387659,37.68
SMPNY,"Sompo Holdings, Inc.",,,,,,,,,,
BSAC,Banco Santander-Chile,0.38,-0.3527616899746678,-0.7417523944661227,0.010965647959614116,0.0,0.008878259714956796,594461.1293552339,586011.7853552339,3109.640675803841,29.49
MKL,Markel Corporation,0.74,0.451847757291196,-0.7417523944661227,0.03364758827803882,0.0,0.030844213499142244,-14.45785495772918,-15.453263957729183,0.0,1073.01
EBKDY,Erste Group Bank AG,,,,,,,,,,
SMUUY,The Siam Commercial Bank Public Company Limited,1.19,1.0090888553199682,-0.7417523944661227,0.0493562148314699,0.0,0.04860240104923264,3219.7345357714576,3160.326506771458,929.5077961092522,17.03
RF,Regions Financial Corporation,1.67,0.7402625197479791,-0.7417523944661227,0.041778000431695536,0.0,0.03764833111272009,244.62582411048842,234.21982411048842,231.90081595097863,14.49
DNKEY,Danske Bank A/S,0.67,-0.47734331119543144,-0.7417523944661227,0.007453692057400787,0.0,0.005575910893939622,9024.385319262425,8034.0763192624245,9387.686892256956,8.52
POFNF,Power Financial Corporation,0.88,0.23953213833722542,-0.7417523944661227,0.02766241097972639,0.0,0.026785057353703772,377.44658702354826,367.34458702354823,514.4161700371772,22.1
KPCPY,Kasikornbank Public Company Limited,0.98,0.7236215413084265,-0.7417523944661227,0.041308891249484544,0.0,0.04024845650438451,2659.194474155391,2541.496179155391,1063.3875226591595,24.75
NTXFY,Natixis S.A.,,,,,,,,,,
ACGL,Arch Capital Group Ltd.,0.81,0.5201235525195554,-0.7417523944661227,0.03557228294552627,0.0,0.033155174424870974,71.53010995179133,69.98745595179133,174.0202296280057,35.04
HBANO,Huntington Bancshares Incorporated,0.04,-0.2775552083831791,-0.7417523944661227,0.013085718675678181,0.0,0.012117350713081686,3785.12283510482,3779.16983510482,3565.2545614196415,26.58
DB,Deutsche Bank Aktiengesellschaft,1.47,0.39874278112591394,-0.7417523944661227,0.032150558999939516,0.0,0.029544577423764845,-1116.992985985445,-1133.671985985445,0.0,6.87
CMTDF,"Sumitomo Mitsui Trust Holdings, Inc.",0.64,-0.38658015723938755,-0.7417523944661227,0.010012305367421665,0.0,0.008114425547338038,211877.0735122177,215146.7035122177,568269.1587750071,37.0
TGOPF,3i Group plc,,,,,,,,,,
APO,"Apollo Global Management, LLC",1.87,0.10980688077702265,-0.7417523944661227,0.02400545596910427,0.0,0.015127455682198206,13.733552052617009,12.17706105261701,60.727413986719576,33.35
PNC-PP,"The PNC Financial Services Group, Inc. DEPOSITARY SHS REP 1/4000TH PERP PFD SER P",,,,,,,,,,
NNGRY,NN Group N.V.,,,,,,,,,,
FRFHF,Fairfax Financial Holdings Limited,0.75,0.2998930934616181,-0.7417523944661227,0.029363986304683017,0.0,0.026424946506990028,27.1044124760687,25.195312476068697,920.5448474997697,480.48
