ticker,name,beta_equity,beta_asset,beta_debt,re,rd,wacc,"enterprise_value, $B","equity_value, $B",stock_price,mkt_stock_price
BA,The Boeing Company,1.41,-0.6459698178581734,-0.7417523944661227,0.0027001108345780893,0.0,0.0025006377567929,10363.040997962546,10359.317997962546,18412.31004027966,348.86
HON,Honeywell International Inc.,1.25,0.7236368318819609,-0.7417523944661227,0.04130932229075249,0.0,0.03433350749372652,377.0034550292457,373.6624550292457,513.4559801979357,173.19
UNP,Union Pacific Corporation,1.28,0.3755969720306908,-0.7417523944661227,0.03149807864154518,0.0,0.020354702044687638,906.2495603741613,885.1315603741614,1250.4684114689214,167.15
UTX,United Technologies Corporation,1.43,0.48691885017374886,-0.7417523944661227,0.03463624238639798,0.0,0.02400569722705556,877.4904045021344,839.5744045021345,972.9570922832444,124.81
EADSF,Airbus SE,1.49,0.6695255906461975,-0.7417523944661227,0.03978392640031631,0.0,0.03731258334470195,105.34186043475647,106.15886043475648,136.9456009942807,139.26
LMT,Lockheed Martin Corporation,1.3,,-0.7417523944661227,,0.0,,,,0.0,349.08
MMM,3M Company,1.22,0.2535911154127303,-0.7417523944661227,0.02805873354348487,0.0,0.017736194529185834,755.0503708053507,743.7163708053506,1290.2110764626245,168.85
SMAWF,Siemens Aktiengesellschaft,0.97,0.4731910536608214,-0.7417523944661227,0.03424925580269856,0.0,0.027586288246510035,529.3204091097123,508.3184091097123,627.5148560085332,117.9
GE,General Electric Company,0.9,-0.26295239963901207,-0.7417523944661227,0.013497371854176252,0.0,0.009339209044602833,1592.4618670119883,1513.5968670119883,173.5776223637601,10.31
UPS,"United Parcel Service, Inc.",1.39,-0.35193862184933966,-0.7417523944661227,0.010988850250067116,0.0,0.006687432499830911,2412.7068214340616,2397.3508214340613,3436.9142853125477,102.02
SMGBY,San Miguel Corporation,1.28,0.11108188921530052,-0.7417523944661227,0.024041398456979324,0.0,0.01597756536067644,26793.400264260752,26418.483264260754,11053.75868797521,35.45
CAT,Caterpillar Inc.,1.47,0.8497732278543049,-0.7417523944661227,0.04486510729321286,0.0,0.040551121699759066,492.3053087095491,491.7143087095491,859.8207818240699,127.17
ADP,"Automatic Data Processing, Inc.",1.03,0.5225033634094584,-0.7417523944661227,0.035639369814512635,0.0,0.03371521841215612,151.07204914695066,151.23964914695065,347.49362210084473,164.45
CNI,Canadian National Railway Company,1.03,0.43241166253665425,-0.7417523944661227,0.033099684766908284,0.0,0.023972254345791366,576.8020303806303,564.5280303806303,775.1311689971582,91.28
CSX,CSX Corporation,1.38,0.359407788626069,-0.7417523944661227,0.031041705561368885,0.0,0.018584962980056678,561.0588040339819,547.1598040339819,676.207182799424,77.64
SAFRY,Safran SA,0.95,0.607031051917219,-0.7417523944661227,0.038022205353546404,0.0,0.03442029875087663,258.44526437414623,255.95226437414624,589.0053259098981,34.61
VCISF,VINCI SA,0.96,0.23627693372065697,-0.7417523944661227,0.027570646761585323,0.0,0.0203652601707887,657.2867926251649,643.462792625165,1158.2029134495474,101.9
RCRRF,"Recruit Holdings Co., Ltd.",1.1,0.9516684769426693,-0.7417523944661227,0.04773753436501385,0.0,0.04399240573287683,12736.374366040538,12977.204366040538,7770.781057509304,31.9
NOC,Northrop Grumman Corporation,0.91,-0.027389547034156723,-0.7417523944661227,0.020137888669107123,0.0,0.012712867863508255,900.728880527988,887.907880527988,5229.139461295572,307.63
NSC,Norfolk Southern Corporation,1.41,0.6398313603316075,-0.7417523944661227,0.03894684604774802,0.0,0.02729686091687828,338.7908958450806,327.7238958450806,1232.1836893073678,196.51
RTN,Raytheon Company,1.15,0.6941715654627411,-0.7417523944661227,0.04047869643039467,0.0,0.034438142779675156,190.39766239668518,189.2506623966852,679.4380067375787,177.12
GD,General Dynamics Corporation,1.5,0.5489000219833984,-0.7417523944661227,0.03638349161971201,0.0,0.027213903042897697,341.00904955974903,330.405049559749,1146.5231784292769,171.94
WM,"Waste Management, Inc.",0.6,-0.1511567505559989,-0.7417523944661227,0.01664889120182639,0.0,0.009596817815940193,964.3592244997254,954.3942244997255,2247.3255733722463,113.65
ITW,Illinois Tool Works Inc.,1.33,0.17256297088872513,-0.7417523944661227,0.025774550149353162,0.0,0.015324330724306074,417.5903884780484,411.7153884780484,1263.7834995335759,151.98
DE,Deere & Company,1.2,0.7811425503735441,-0.7417523944661227,0.042930408495030214,0.0,0.040043560805622866,168.9678006191785,166.1282006191785,524.0637243507208,151.53
SBGSY,Schneider Electric S.E.,0.99,0.6604437928919598,-0.7417523944661227,0.039527910521624354,0.0,0.03398769863730194,182.8973346409372,178.8323346409372,320.84454885524633,16.84
FDX,FedEx Corporation,1.84,0.8517167483601386,-0.7417523944661227,0.044919895136272314,0.0,0.03183535545421233,667.7077188910912,654.3877188910913,2511.2737696334766,165.67
MSBHY,Mitsubishi Corporation,,,,,,,,,,
NNDNF,Nidec Corporation,1.68,1.2645262400701083,-0.7417523944661227,0.05655699470757636,0.0,0.04871386463452212,8122.928850966287,8009.828850966288,27216.54383610699,130.32
CJPRY,Central Japan Railway Company,0.31,-0.18218930498374594,-0.7417523944661227,0.015774083492508202,0.0,0.00863613018166816,166915.9507606069,163181.4937606069,832771.0832386165,20.74
